Symbol,Description,Assets under management,Assets under management - Currency,Asset class,Focus,Brand,Category,Country of registration,Niche,Region,Strategy,Leverage,Portfolio transparency,Selection criteria,Weighting scheme,Index provider,Currency hedged,Derivative holdings,Tax form,UCITS compliance,Fund flows 1 month,Fund flows 1 month - Currency,Net assets value,Net assets value - Currency
QTOC,Innovator Growth Accelerated Plus ETF - October,11140500,USD,Equity,Large cap,Innovator,Size and style,United States,Broad-based,North America,Vanilla,"Leveraged, variable",Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2188065,USD,29.8052,USD
RJMG,First Trust Exchange-Traded Fund VIII FT Raymond James Multicap Growth Equity ETF,11127199.454,USD,Equity,Total market,First Trust,Size and style,United States,Growth,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,24.608,USD
DIVP,The Advisors Inner Circle Fund II Cullen Enhanced Equity Income ETF,11095197.8286828,USD,Equity,Total market,Cullen,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,652016.0814450076,USD,26.04,USD
KCAI,KraneShares Trust KraneShares China Alpha Index ETF,11068731.277115,USD,Equity,Total market,KraneShares,Size and style,United States,Broad-based,Asia-Pacific,Multi-factor,Non-leveraged,Transparent,Multi-factor,Multi-factor,Quant Insight Ltd.,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,564.6427188567191,USD,27.14,USD
KJUN,SHL Telemedicine Ltd Innovator U.S. Small Cap Power Buffer ETF - June,11024400,USD,Equity,Small cap,Innovator,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,27.4993,USD
MNTL,Tema Neuroscience and Mental Health ETF,11014740,USD,Equity,Health care,Tema,Sector,United States,"Pharma, biotech & life sciences",Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,24.7788,USD
SDCP,Virtus ETF Trust II Virtus Newfleet Short Duration Core Plus Bond ETF,11007603.6,USD,Fixed income,Broad credit,Virtus,"Broad market, broad-based",United States,Short-term,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,25.89,USD
GCLN,Goldman Sachs Bloomberg Clean Energy Equity ETF,11007000,USD,Equity,Theme,Goldman Sachs,Sector,United States,Renewable energy,Global,ESG,Non-leveraged,Semi or non-transparent,Principles-based,Tiered,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,36.64,USD
MADE,iShares Trust iShares U.S. Manufacturing ETF,10975709.64,USD,Equity,Industrials,iShares,Sector,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Market cap,Tiered,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,3151636.47,USD,26.067514,USD
BELT,iShares Long-Term U.S. Equity Active ETF,10940502,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Semi or non-transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,31.4451,USD
VABS,Virtus Newfleet ABS/MBS ETF,10924747.108,USD,Fixed income,Broad credit,Virtus,"Broad market, asset-backed",United States,Broad maturities,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,24.274,USD
EBUF,SHL Telemedicine Ltd Innovator Emerging Markets 10 Buffer ETF - Quarterly,10908645,USD,Equity,Total market,Innovator,Size and style,United States,Broad-based,Emerging markets,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,635947.5,USD,25.661,USD
TOAK,Manager Directed Portfolios Twin Oak Short Horizon Absolute Return ETF,10866280,USD,Alternatives,Multi-strategy,Twin Oak,Hedge fund strategies,United States,Absolute return,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Holds,1099 (corporations),Non-compliant,-2984806,USD,27.1769,USD
SKF,ProShares UltraShort Financials,10852160.88,USD,Equity,Financials,ProShares,Sector,United States,Broad-based,North America,Vanilla,Inverse 2x,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Holds,1099 (corporations),Non-compliant,-4399.73299999985,USD,34.3338,USD
BWTG,ETF Opportunities Trust Brendan Wood TopGun Index ETF,10843967.3008,USD,Equity,Total market,Brendan Wood,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1069801.1346,USD,34.8980709,USD
CNCR,Range Cancer Therapeutics ETF,10838134.7928,USD,Equity,Health care,Range,Sector,United States,"Pharma, biotech & life sciences",Global,Equal,Non-leveraged,Transparent,Market cap,Equal,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,12.7076,USD
INDF,Range India Financials ETF,10837633.195659,USD,Equity,Financials,Range,Sector,United States,Broad-based,Asia-Pacific,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,NSE Indices Ltd.,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,862.9949045408024,USD,39.53,USD
ASMF,Virtus ETF Trust II Virtus AlphaSimplex Managed Futures ETF,10831596.28,USD,Alternatives,Global macro,Virtus,Hedge fund strategies,United States,Managed futures,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1196925,USD,23.992,USD
MSFX,ETF Opportunities Trust T-Rex 2X Long Microsoft Daily Target ETF,10819055.9124,USD,Equity,Information technology,T-Rex,Sector,United States,,North America,Vanilla,Leveraged 2x,Transparent,Single asset,Single asset,,Unhedged,Holds,1099 (corporations),Non-compliant,-181169.18409999995,USD,29.73667414,USD
COAL,Exchange Traded Concepts Trust Range Global Coal Index ETF,10813551.5061559,USD,Equity,Energy,Range,Sector,United States,"Oil, gas & consumable fuels",Global,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-1171.1289920100462,USD,22.71,USD
FLJJ,AIM ETF Products Trust AllianzIM U.S. Equity 6 Month Floor5 Jan/Jul ETF,10805625,USD,Equity,Large cap,Allianz,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,3225,USD,28.8296,USD
GPOW,Goldman Sachs ETF Trust Goldman Sachs North American Pipelines & Power Equity ETF,10800000,USD,Equity,Energy,Goldman Sachs,Sector,United States,Broad-based,North America,Multi-factor,Non-leveraged,Semi or non-transparent,Market cap,Multi-factor,Solactive AG,,Doesn't hold,1099 (corporations),Non-compliant,2739000,USD,53.67,USD
NRSH,Tidal ETF Trust Aztlan North America Nearshoring Stock Selection ETF,10713625,USD,Equity,Total market,Aztlan,Size and style,United States,Broad-based,North America,Multi-factor,Non-leveraged,Transparent,Multi-factor,Liquidity,Aztlan Equity Management LLC (Mexico),Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,22.3432,USD
UPSD,ETF Series Solutions Aptus Large Cap Upside ETF,10695167.5,USD,Equity,Large cap,Aptus,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,10778050,USD,25.0726,USD
MSVX,LHA Market State Alpha Seeker ETF,10635012.5,USD,Equity,Large cap,Little Harbor Advisors,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-541460,USD,22.3958,USD
HYUP,Xtrackers High Beta High Yield Bond ETF,10590792.363,USD,Fixed income,High yield,Xtrackers,"Corporate, broad-based",United States,Broad maturities,North America,Technical,Non-leveraged,Transparent,Beta,Market value,Solactive AG,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,42.285,USD
REK,ProShares Short Real Estate,10572763.866,USD,Equity,Real estate,ProShares,Sector,United States,Broad-based,North America,Vanilla,Inverse,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Holds,1099 (corporations),Non-compliant,-991902,USD,17.0018,USD
USG,USCF Gold Strategy Plus Income Fund,10562300,USD,Commodities,Gold,USCF Advisers,Precious metals,United States,Variable,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Holds,1099 (corporations),Non-compliant,3100,USD,29.822,USD
XDJL,Innovator U.S. Equity Accelerated ETF - July,10551480,USD,Equity,Large cap,Innovator,Size and style,United States,Broad-based,North America,Buy-write,"Leveraged, variable",Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-877457.5,USD,35.1814,USD
MRGR,ProShares Merger ETF,10506675,USD,Alternatives,Long/short,ProShares,Hedge fund strategies,United States,Merger arbitrage,Developed markets,Multi-factor,Non-leveraged,Transparent,Multi-factor,Market cap,S&P Dow Jones Indices LLC,Hedged,Holds,1099 (corporations),Non-compliant,0,USD,42.0054,USD
RBLD,First Trust Alerian US NextGen Infrastructure ETF,10495339.936,USD,Equity,Theme,First Trust,Sector,United States,Infrastructure,North America,Equal,Non-leveraged,Transparent,Market cap,Equal,VettaFi LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,69.209,USD
TAGS,Teucrium Agricultural Fund ETV,10489925.86,USD,Commodities,Broad market,Teucrium,Agriculture,United States,Laddered,Global,Laddered,Non-leveraged,Transparent,Fixed,Equal,Teucrium Trading LLC,Unhedged,Holds,1099 (corporations),Non-compliant,0,USD,25.21,USD
FBUF,Fidelity Dynamic Buffered Equity ETF,10475013.75,USD,Equity,Large cap,Fidelity,Size and style,United States,Broad-based,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1380589.75,USD,27.92347,USD
AQWA,Global X Clean Water ETF,10463870.6830821,USD,Equity,Theme,Global X,Sector,United States,Water,Global,ESG,Non-leveraged,Transparent,Principles-based,Market cap,Solactive AG,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-529.6272431318048,USD,17.91,USD
SHRT,Tidal ETF Trust Gotham Short Strategies ETF,10399320.2114,USD,Equity,Total market,Gotham,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-189232.5,USD,7.5728,USD
IVRA,Invesco Real Assets ESG ETF,10378896.217,USD,Equity,Total market,Invesco,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Semi or non-transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,16.172,USD
TYLG,Global X Funds Global X Information Technology Covered Call & Growth ETF,10300966.0188088,USD,Equity,Information technology,Global X,Sector,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,"Cboe Exchange, Inc. (Illinois)",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1022914.6302388788,USD,34.42,USD
HIYS,Invesco Actively Managed Exchange-Traded Fund Trus Invesco High Yield Select ETF,10294825.737,USD,Fixed income,High yield,Invesco,"Corporate, broad-based",United States,Broad maturities,Global,Active,Non-leveraged,Semi or non-transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,25.686,USD
CEFD,ETRACS Monthly Pay 1.5X Leveraged Closed-End Fund Index ETN,10273750,USD,Asset allocation,Target outcome,ETRACS,Asset allocation,United States,Capital appreciation,North America,Multi-factor,Leveraged 1.5x,Transparent,Multi-factor,Multi-factor,VettaFi LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,20.3088,USD
FFDI,Fidelity Covington Trust Fidelity Fundamental Developed International ETF,10237388.4,USD,Equity,Total market,Fidelity,Size and style,United States,Broad-based,Developed markets,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,,,25.411555,USD
BBC,Virtus LifeSci Biotech Clinical Trials ETF,10224502.244,USD,Equity,Health care,Virtus,Sector,United States,Life sciences tools & services,North America,Equal,Non-leveraged,Transparent,Proprietary,Equal,LifeSci Index Partners LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,25.093,USD
EMEQ,Macquarie Focused Emerging Markets Equity ETF,10212000,USD,Equity,Total market,Macquarie,Size and style,United States,Broad-based,Emerging markets,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1265000,USD,25.42,USD
SMLL,Harbor ETF Trust Harbor Active Small Cap ETF,10206000,USD,Equity,Small cap,Harbor,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,568500,USD,22.48,USD
FEMR,Fidelity Covington Trust Fidelity Enhanced Emerging Markets ETF,10193537.6,USD,Equity,Total market,Fidelity,Size and style,United States,Broad-based,Emerging markets,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,25.347029,USD
FFGX,Fidelity Covington Trust Fidelity Fundamental Global ex-U.S. ETF,10181982,USD,Equity,Total market,Fidelity,Size and style,United States,Broad-based,Global Ex-U.S.,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,,,25.280188,USD
BBBI,BondBloxx ETF Trust BondBloxx BBB Rated 5-10 Year Corporate Bond ETF,10176520,USD,Fixed income,Investment grade,BondBloxx,"Corporate, broad-based",United States,Intermediate,North America,Vanilla,Non-leveraged,Transparent,Credit rating,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2555605,USD,50.7084,USD
ESMV,iShares ESG MSCI USA Min Vol Factor ETF,10168434.85,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,North America,Multi-factor,Non-leveraged,Transparent,Multi-factor,Multi-factor,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-2971346.5,USD,28.944749,USD
AVL,Direxion Daily AVGO Bull 2X Shares,10158322.574,USD,Equity,Information technology,Direxion,Sector,United States,Semiconductors,North America,Vanilla,Leveraged 2x,Transparent,Single asset,Single asset,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,4483400,USD,33.583,USD
FLYU,Bank of Montreal MicroSectors Travel 3x Leveraged ETN,10155402.1682408,USD,Equity,Consumer discretionary,REX Microsectors,Sector,Canada,"Hotels, resorts & cruise lines",North America,Vanilla,Leveraged 3x,Semi or non-transparent,Market cap,Liquidity,"Merqube, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,60.7551755873291,USD
HCOM,Hartford Schroders Commodity Strategy ETF,10153620,USD,Commodities,Broad market,Hartford,Broad market,United States,Variable,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Holds,1099 (corporations),Non-compliant,0,USD,14.992,USD
IBIK,iShares Trust iShares iBonds Oct 2034 Term TIPS ETF,10148480,USD,Fixed income,Investment grade,iShares,"Government, inflation-linked",United States,Long-term,North America,Bullet maturity,Non-leveraged,Transparent,Maturity,Market value,ICE Data Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1268770,USD,25.254,USD
FFEM,Fidelity Covington Trust Fidelity Fundamental Emerging Markets ETF,10141753.2,USD,Equity,Total market,Fidelity,Size and style,United States,Broad-based,Emerging markets,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,,,25.187487,USD
FDTB,Foundations Dynamic Income ETF,10070944.07,USD,Fixed income,Broad credit,Foundations,"Broad market, broad-based",United States,Broad maturities,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2834184.279961856,USD,9.37,USD
MAYZ,Listed Funds Trust TrueShares Structured Outcome (May) ETF,10046720,USD,Equity,Large cap,TrueShares,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,4083963,USD,31.3932,USD
DECO,SPDR Galaxy Digital Asset Ecosystem ETF,10010088.4,USD,Equity,Theme,SPDR,Sector,United States,Blockchain,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1126535.82,USD,38.693,USD
ISDB,Invesco Actively Managed Exchange-Traded Fund Trus Invesco Short Duration Bond ETF,9996824.992,USD,Fixed income,Broad credit,Invesco,"Broad market, broad-based",United States,Short-term,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,24.972,USD
MYCF,SPDR SSGA My2026 Corporate Bond ETF,9987234.8,USD,Fixed income,Investment grade,SPDR,"Corporate, broad-based",United States,Short-term,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,24.962786,USD
AQLT,iShares Trust iShares MSCI Global Quality Factor ETF,9966240,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,Global,Fundamental,Non-leveraged,Transparent,Fundamental,Tiered,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,,,24.8426,USD
XDJA,Innovator ETFs Trust Innovator U.S. Equity Accelerated ETF - January,9957395,USD,Equity,Large cap,Innovator,Size and style,United States,Broad-based,North America,Buy-write,"Leveraged, variable",Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-3360,USD,28.4613,USD
GMUN,Goldman Sachs ETF Trust Goldman Sachs Community Municipal Bond ETF,9944000,USD,Fixed income,Investment grade,Goldman Sachs,"Government, local authority/municipal",United States,Intermediate,North America,ESG,Non-leveraged,Transparent,Principles-based,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,49.58,USD
GOOX,ETF Opportunities Trust T-Rex 2X Long Alphabet Daily Target ETF,9914224.5306,USD,Equity,Communication services,T-Rex,Sector,United States,Interactive Media & Services,North America,Vanilla,Leveraged 2x,Transparent,Single asset,Single asset,,Unhedged,Holds,1099 (corporations),Non-compliant,774958.5998,USD,37.233937,USD
JUNP,SHL Telemedicine Ltd PGIM US Large-Cap Buffer 12 ETF - June,9862012.964,USD,Equity,Large cap,PGIM,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,27.384,USD
HJAN,Innovator ETFs Trust Innovator Premium Income 9 Buffer ETF - January,9848240,USD,Equity,Large cap,Innovator,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,24.6282,USD
KALL,KraneShares MSCI All China Index ETF,9830209.30081575,USD,Equity,Total market,KraneShares,Size and style,United States,Broad-based,Asia-Pacific,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-1067198.6184713263,USD,21.33,USD
WEEL,Tidal Trust II Peerless Option Income Wheel ETF,9819532.5,USD,Equity,Total market,Peerless,Size and style,United States,Broad-based,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,20.6193,USD
DFND,Siren DIVCON Dividend Defender ETF,9819397.914,USD,Equity,Large cap,Siren,Size and style,United States,Broad-based,North America,Long-short,Non-leveraged,Transparent,Proprietary,Proprietary,Reality Shares Advisors LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-1076682.5,USD,42.6198,USD
PFFL,"ETRACS 2xMonthly Pay Leveraged Preferred Stock Index ETN due September 25, 2048",9754700,USD,Fixed income,Broad credit,ETRACS,"Corporate, preferred",United States,Broad maturities,North America,Vanilla,Leveraged 2x,Transparent,Market value,Market value,Solactive AG,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,9.4984,USD
COPJ,Sprott Junior Copper Miners ETF,9753230.5,USD,Equity,Materials,Sprott,Sector,United States,Copper miners,Global,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,NASDAQ,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,18.944797,USD
NWLG,Nuveen Winslow Large-Cap Growth ESG ETF,9723645.9012,USD,Equity,Large cap,Nuveen,Size and style,United States,Growth,North America,Active,Non-leveraged,Semi or non-transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-337025.3631,USD,34.70496082,USD
MBBB,VanEck Moody's Analytics BBB Corporate Bond ETF,9709650,USD,Fixed income,Investment grade,VanEck,"Corporate, broad-based",United States,Broad maturities,North America,Fundamental,Non-leveraged,Transparent,Credit rating,Market value,MarketVector Indexes GmbH,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,21.498,USD
ERET,iShares Environmentally Aware Real Estate ETF,9669888,USD,Equity,Real estate,iShares,Sector,United States,Broad-based,Global,ESG,Non-leveraged,Transparent,Principles-based,Principles-based,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,26.8006,USD
YETH,Roundhill ETF Trust Roundhill Ether Covered Call Strategy ETF,9652923,USD,Currency,"Long Ether, short USD",Roundhill,Pair,United States,Derivative,Global,Buy-write,Non-leveraged,Transparent,Single asset,Single asset,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2121626,USD,57.0428,USD
XMAG,Defiance Large Cap ex-Mag 7 ETF,9602220,USD,Equity,Large cap,Defiance,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,BITA GmbH,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,3080302.5,USD,20.2723,USD
FLCC,Federated Hermes ETF Trust Federated Hermes MDT Large Cap Core ETF,9599816.36,USD,Equity,Large cap,Federated Hermes,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,6111450,USD,28.97,USD
HCOW,Amplify Cash Flow High Income ETF,9596844,USD,Equity,Total market,Amplify,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Holds,1099 (corporations),Non-compliant,7196526,USD,26.5947,USD
GLOW,VictoryShares WestEnd Global Equity ETF,9582146.9316,USD,Equity,Total market,VictoryShares,Size and style,United States,Broad-based,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1066097.08,USD,26.56818381,USD
PBDE,SHL Telemedicine Ltd PGIM US Large-Cap Buffer 20 ETF - December,9566306.573,USD,Equity,Large cap,PGIM,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,5846610,USD,26.623,USD
SPCX,SPAC and New Issue ETF,9545213.212,USD,Equity,Total market,Tuttle Capital,Size and style,United States,Broad-based,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-1193872.64625,USD,23.75919763,USD
CLDL,Direxion Daily Cloud Computing Bull 2X Shares,9526041.567,USD,Equity,Information technology,Direxion,Sector,United States,Software & services,North America,Vanilla,Leveraged 2x,Transparent,Market cap,Market cap,indxx LLC,Unhedged,Holds,1099 (corporations),Non-compliant,2432975,USD,16.254,USD
HART,NYLI Healthy Hearts ETF,9473700,USD,Equity,Theme,New York Life Investments,Sector,United States,Consumer,Global,ESG,Non-leveraged,Transparent,Principles-based,Market cap,New York Life Investment Management LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,31.402,USD
QHDG,Innovator Hedged Nasdaq-100 ETF,9454515,USD,Equity,Large cap,Innovator,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,27.123,USD
UXOC,First Trust Exchange-Traded Fund VIII FT Vest U.S. Equity Uncapped Accelerator ETF - October,9447362.982,USD,Equity,Large cap,FT Vest,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,7668350,USD,31.502,USD
INFR,ClearBridge Sustainable Infrastructure ETF,9436000,USD,Equity,Theme,ClearBridge,Sector,United States,Infrastructure,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,23.48,USD
APRD,Innovator ETFs Trust Innovator Premium Income 10 Barrier ETF - April,9423750,USD,Equity,Large cap,Innovator,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,25.14,USD
GSIG,Goldman Sachs Access Investment Grade Corporate 1-5 Year Bond ETF,9416000,USD,Fixed income,Investment grade,Goldman Sachs,"Corporate, broad-based",United States,Short-term,North America,Fundamental,Non-leveraged,Transparent,Fundamental,Market value,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,47.03,USD
FCSH,Federated Hermes Short Duration Corporate ETF,9402996.44,USD,Fixed income,Investment grade,Federated Hermes,"Corporate, broad-based",United States,Short-term,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-18564700,USD,24.09,USD
JANH,Innovator ETFs Trust Innovator Premium Income 20 Barrier ETF - January,9374475,USD,Equity,Large cap,Innovator,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,25.0063,USD
RFLR,Innovator U.S. Small Cap Managed Floor ETF,9364845,USD,Equity,Small cap,Innovator,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,5356005,USD,26.6235,USD
TSPY,TappAlpha SPY Growth & Daily Income ETF,9342288,USD,Equity,Large cap,TappAlpha,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2348871,USD,25.9574,USD
FXP,ProShares Ultrashort FTSE China 50,9323647.235,USD,Equity,Large cap,ProShares,Size and style,United States,Broad-based,Asia-Pacific,Exchange-specific,Inverse 2x,Transparent,Hong Kong-listed,Market cap,FTSE Group,Unhedged,Holds,1099 (corporations),Non-compliant,-1052640,USD,17.9841,USD
JHDV,John Hancock Exchange-Traded Fund Trust John Hancock U.S. High Dividend ETF,9275575,USD,Equity,High dividend yield,John Hancock,High dividend yield,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,36.9918,USD
LJAN,Innovator ETFs Trust Innovator Premium Income 15 Buffer ETF - January,9236175,USD,Equity,Large cap,Innovator,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,615645,USD,24.637,USD
